country_code,country_name
5,American Samoa
6,Andorra
258,Anguilla
22,Aruba
17,Bermuda
24,British Indian Ocean Territory
239,British Virgin Islands
26,Brunei Darussalam
36,Cayman Islands
259,Channel Islands
42,Christmas Island
43,Cocos (Keeling) Islands
47,Cook Islands
61,Equatorial Guinea
178,Eritrea
65,Falkland Islands (Malvinas)
64,Faroe Islands
69,French Guiana
82,Gibraltar
85,Greenland
87,Guadeloupe
88,Guam
264,Isle of Man
400,"Kosovo, Republic of "
125,Liechtenstein
127,Marshall Islands
135,Martinique
270,Mayotte
140,Monaco
142,Montserrat
151,Netherlands Antilles
160,Niue
161,Norfolk Island
163,Northern Mariana Islands
180,Palau
299,"Palestine, State of"
172,Pitcairn Islands
177,Puerto Rico
182,Reunion
187,Saint Helena
190,Saint Pierre and Miquelon
192,San Marino
200,Singapore
201,Somalia
260,Svalbard and Jan Mayen Islands
218,Tokelau
219,Tonga
224,Turks and Caicos Islands
227,Tuvalu
240,United States Virgin Islands
94,Vatican City
242,Wake Island
243,Wallis and Futuna Islands
205,Western Sahara